STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2004,,29.62,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2005,,31.367,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2006,,32.07,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2007,,32.657,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2008,,32.448,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2009,,31.437,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2010,,31.867,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2011,,31.187,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2012,,35.152,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2013,,33.167,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2014,,31.856,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2015,,34.913,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2016,,36.953,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2017,,35.776,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2018,,36.572,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2019,,38.042,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2020,,45.015,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2021,,41.389,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2022,,44.076,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AL,Albania,2023,,46.620,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AT,Austria,2004,,22.553,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AT,Austria,2005,,24.353,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AT,Austria,2006,,26.276,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,AT,Austria,2007,,28.144,,,,,
